Santi,180,6,83.33,30.00,2,3,20.84,3.47
Roman,300,6,100.00,50.00,3,6,11.35,1.89
Claudio,300,6,100.00,50.00,3,6,13.82,2.30
Omar,210,6,83.33,35.00,2,4,14.27,2.38
pepe,120,3,100.00,40.00,1,3,3.68,1.23
raul,0,1,0.00,0.00,0,0,1.55,1.55
fff,-30,3,14.29,-10.00,0,1,17.21,5.74
hhhh,150,7,71.43,21.43,1,4,7.89,1.13
dd,-90,4,14.29,-22.50,0,1,0.67,0.17
ggg,0,5,28.57,0.00,0,2,1.09,0.22
rr,30,6,42.86,5.00,0,2,0.48,0.08
ggg,-120,3,0.00,-40.00,0,0,0.14,0.05
Santi,0,5,28.57,0.00,0,1,3.37,0.67
Papt,150,7,71.43,21.43,1,2,4.41,0.63
d,-40,3,0.00,-13.33,0,0,1.94,0.65
d,0,5,28.57,0.00,0,1,4.00,0.80
o,120,7,57.14,17.14,0,2,7.65,1.09
l,-90,4,14.29,-22.50,0,1,2.56,0.64
